id,title,inventor,grant_date,result_link
EP-3167599-B1,Method and signaling gateway for provisioning traversal using relays around network address translation (turn) credential and servers ,"Xiaobo Wang, Huipeng Ren, Xuwu Zhang",12/4/19,https://patents.google.com/patent/EP3167599B1/en
EP-3529968-B1,System and method for node selection based on mid-session and end-session event information ,"Timothy P. Stammers, Suraj Sharad Mody, Robert Glenn Smith",12/22/21,https://patents.google.com/patent/EP3529968B1/en
EP-2124415-B1,Voice over content centric networks ,"Paul J Stewart, Van L Jacobson, Michael F Plass, Diana K Smetters",12/24/14,https://patents.google.com/patent/EP2124415B1/en
JP-5129197-B2,Method and apparatus for handoff in a communication system supporting multiple service instances ,"ジュン・ワン, レイモンド・ティー・シュ",1/23/13,https://patents.google.com/patent/JP5129197B2/en
US-8670336-B2,Measuring call quality ,"Mihails Velenko, Christoffer Asgaard Rodbro, Ole Mahrt, Mart Oruaas",3/11/14,https://patents.google.com/patent/US8670336B2/en
KR-101616152-B1,Delivering cacheable streaming media presentations ,"존 에이 보차로브, 지퀴앙 장 (샘), 크리쉬나 프라카쉬 두가라주, 수드히르 시리바라, 린 리우, 아니르반 로이, 지민 가오, 잭 이 프리랜더, 크리스토퍼 지 놀튼, 비샬 수드",4/27/16,https://patents.google.com/patent/KR101616152B1/en
AU-2010236445-B2,Sharing of audio/visual content with a selected user ,Padmanabha Rao,5/8/14,https://patents.google.com/patent/AU2010236445B2/en
EP-3577951-B1,A mechanism to enable optimized user plane anchoring for minimization of user plane relocation due to user equipment mobility ,"Stefano Faccin, Haris Zisimopoulos, Hong Cheng",3/16/22,https://patents.google.com/patent/EP3577951B1/en
US-10841979-B2,Telecommunication system with packet-switched-multimedia-session-to-circuit-switched-call transferral ,"Lieve Maria Marcella Rosemarijn Bos, Laurent Jean Andre Thiebaut, Piotr Jan Wencel",11/17/20,https://patents.google.com/patent/US10841979B2/en
EP-3704885-B1,User authentication using connection information provided by a blockchain network ,Apostolis Salkintzis,1/5/22,https://patents.google.com/patent/EP3704885B1/en
EP-3005822-B1,Mac layer transport for wi-fi direct services application service platform without internet protocol ,"Andrew Mackinnon DAVIDSON, Xiaolong Huang, Shivraj Singh SANDHU",7/19/17,https://patents.google.com/patent/EP3005822B1/en
US-8463939-B1,System and method for optimized and distributed routing of interactions ,Brian R. Galvin,6/11/13,https://patents.google.com/patent/US8463939B1/en
EP-2538610-B1,Conference call user interface and methods thereof ,"Peter Couse, Vincent Somoza",12/26/18,https://patents.google.com/patent/EP2538610B1/en
JP-5043968-B2,High data rate interface with improved link synchronization ,"ジョン・ジェームス・アンダーソン, ブライアン・スティール, ジョージ・エー．・ウィレイ, シャシャンク・シェカー",10/10/12,https://patents.google.com/patent/JP5043968B2/en
EP-2241078-B1,Method and internet protocol television (iptv) content manager server for iptv servicing ,George Foti,1/18/12,https://patents.google.com/patent/EP2241078B1/en
EP-2260632-B1,Method and devices for enabling a multi-mode device to establish a session through multiple networks ,"Anatoly Agulnik, Rod N. Averbuch",12/13/17,https://patents.google.com/patent/EP2260632B1/en
EP-3058699-B1,Communication system architecture ,"Carl OLIVER, Marek Laasik, Sergei ZOLOTARJOV, Mihails Velenko, Andrei Jefremov",12/20/17,https://patents.google.com/patent/EP3058699B1/en
EP-2958275-B1,Limp-home operation of audio video bridging networks ,Craig Gunther,2/19/20,https://patents.google.com/patent/EP2958275B1/en
EP-2449744-B1,Restriction of communication in voip address discovery system ,"Jonathan D. Rosenberg, Cullen F. Jennings",9/13/17,https://patents.google.com/patent/EP2449744B1/en
EP-3331215-B1,Method and device for dynamic context-based routing ,"Alan Mcnamee, Cameron Ross Dunne, Fergus McCann, Michael O'sullivan, Niall Byrne, Joe Hogan",10/14/20,https://patents.google.com/patent/EP3331215B1/en
EP-2981046-B1,Identifying services provided over secured connections using dns caching ,"Ofer Weill, Roni BAR-YANAI, Ishai Asa",12/20/17,https://patents.google.com/patent/EP2981046B1/en
US-9430177-B2,"Method and apparatus for providing an enhanced Wi-Fi display session in a Wi-Fi display network, and system thereof ","Kavin Kumar THANGADORAI, Mohammed INTHIQAB, Srikrishna SADULA, Vaibhav KHANDELWAL",8/30/16,https://patents.google.com/patent/US9430177B2/en
EP-3192318-B1,Dynamic rate adaptation during real-time lte communication ,"Yasmin Karimli, Dinesh ARCOT KUMAR",4/8/20,https://patents.google.com/patent/EP3192318B1/en
US-8948161-B2,Terminal-to-terminal communication connection control method using IP transfer network ,"Hisao Furukawa, Shoji Miyaguchi",2/3/15,https://patents.google.com/patent/US8948161B2/en
EP-3065371-B1,"System, method, apparatus and machine-readable media for enterprise wireless calling ","Mark Grayson, Gangadharan Byju Pularikkal, Mickael James Graham, Santosh Ramrao Patil, Peter Gaspar",7/22/20,https://patents.google.com/patent/EP3065371B1/en
JP-6038973-B2,Providing presence and social networking information to the phone ,"デバーシ・ピー．・シャー, パトリック・エヌ．・ルンドクビスト",12/7/16,https://patents.google.com/patent/JP6038973B2/en
EP-2822247-B1,Integrated signaling between mobile data networks and enterprise networks ,"Kevin D. Shatzkamer, Gibson Soon Teck Ang, Arun C. Alex, Craig Robert Sanderson, David T. Clough",10/10/18,https://patents.google.com/patent/EP2822247B1/en
US-11265294-B2,Method for secure WiFi calling connectivity over managed public WLAN access ,Changzheng WU,3/1/22,https://patents.google.com/patent/US11265294B2/en
US-8838696-B2,Method and apparatus to provide an ecosystem for mobile video ,"Abhishek Tiwari, Jonah Kaj Fleming, Alan Michael Vale",9/16/14,https://patents.google.com/patent/US8838696B2/en
US-10817066-B2,Information privacy in virtual reality ,"Christopher Ross, Ian MacGillivray",10/27/20,https://patents.google.com/patent/US10817066B2/en
EP-3011725-B1,Method and apparatus for controlling content shared between devices in wireless communication system ,"Kiran Bharadwaj Vedula, Jun-Hyung Kim",12/4/19,https://patents.google.com/patent/EP3011725B1/en
EP-3245596-B1,System and method for elastic scaling using a container-based platform ,"Krishnakant M. Patel, Ramu Kandula, Brahmananda R. Vempati, Harisha Mahabaleshwara Negalaguli, Pratap Chandana",8/12/20,https://patents.google.com/patent/EP3245596B1/en
JP-5479563-B2,Method and apparatus for parallel registration and call establishment ,"ステフェン・エッジ, カーク・バラフズ, アルングンドラム・シー．・マヘンドラン, ジョン・ウォレス・ナシエルスキ",4/23/14,https://patents.google.com/patent/JP5479563B2/en
US-2021218785-A1,System for audio communication using LTE ,Lisa Rørbæk KAMSTRUP,,https://patents.google.com/patent/US20210218785A1/en
EP-3491781-B1,Private communication by gazing at avatar ,"Jessica Ellen Zahn, Peter William CARLSON, Shawn Crispin WRIGHT, Eric Scott REHMEYER, John COPIC",8/19/20,https://patents.google.com/patent/EP3491781B1/en
EP-3000214-B1,Method for establishing device-to-device communication ,Apostolis Salkintzis,4/5/17,https://patents.google.com/patent/EP3000214B1/en
CN-104796396-B,The method and medium of network agent layer for the application proxy based on strategy are provided ,"徐飞龙, 晁志维, 陈澧",1/11/19,https://patents.google.com/patent/CN104796396B/en
JP-6661399-B2,Fallback with mobile device assisted incoming access area selection ,"ハイペン・ジン, ルーズベ・アタリウス, アルングンドラム・シー．・マヘンドラン, ラマチャンドラン・サブラマニアン",3/11/20,https://patents.google.com/patent/JP6661399B2/en
EP-2690851-B1,"Communication system, communication method, and computer-readable recording medium ",Taro Okuyama,3/11/15,https://patents.google.com/patent/EP2690851B1/en
US-9401938-B2,Efficiently accessing web conferences from a mobile device ,Alexander Bakaev,7/26/16,https://patents.google.com/patent/US9401938B2/en
US-8973077-B2,"Method for streaming video content, node in a network for monitoring video content streaming ","Rafael Huysegems, Bart De Vleeschauwer",3/3/15,https://patents.google.com/patent/US8973077B2/en
EP-3172904-B1,Vehicle-initiated emergency calls ,Randall Coleman Gellens,5/1/19,https://patents.google.com/patent/EP3172904B1/en
EP-2854360-B1,"Method for connecting a first host and a second host within at least one communication network through a relay module, corresponding relay module. ","Françoise Le Bolzer, Stephane Gouache, Luis Montalvo",4/6/16,https://patents.google.com/patent/EP2854360B1/en
US-9313249-B2,Systems and methods for estimating available bandwidth and performing initial stream selection when streaming content ,"Kourosh Soroushian, Jason Braness",4/12/16,https://patents.google.com/patent/US9313249B2/en
US-9813320-B2,System and method for generating a graphical user interface representative of network performance ,"Stephen K. Edwards, Michael K. Bugenhagen",11/7/17,https://patents.google.com/patent/US9813320B2/en
JP-6469788-B2,Using quality information for adaptive streaming of media content ,"ジャン，シャオボ, ジラディ，アレクサンダー, ワン，シン, シュイ，ヤンポ, リィウ，シン, ディ，ペイユン",2/13/19,https://patents.google.com/patent/JP6469788B2/en
CN-102088456-B,Method and system enabling real-time communications between multiple participants ,"赵季群, E·D·B·豪尔, P·A·萨姆, A·苏伦, S·T·温特罗内",8/20/14,https://patents.google.com/patent/CN102088456B/en
US-9549004-B2,System and method for re-routing calls ,"William L. Wiley, Michael K. Bugenhagen",1/17/17,https://patents.google.com/patent/US9549004B2/en
KR-102401392-B1,Animated Chat Presence ,"제시 챈드, 제레미 보스",5/24/22,https://patents.google.com/patent/KR102401392B1/en
US-9729591-B2,Gestures for sharing content between multiple devices ,"Lars Erik Holmquist, Karolina Buchner, Roger Urrabazo, Roman Lissermann",8/8/17,https://patents.google.com/patent/US9729591B2/en
US-10027511-B2,Packet-switched telephony ,"John A. Nix, Brian C. Wiles, Jeffrey S. Mumma",7/17/18,https://patents.google.com/patent/US10027511B2/en
US-10341490-B2,Real-time communications-based internet advertising ,"James Im, William M. Gillon, Douglas E. Hart, David A. Bryan, Tobin E. Farrand",7/2/19,https://patents.google.com/patent/US10341490B2/en
US-11050817-B2,Voice operated control device ,Patrick T. Igoe,6/29/21,https://patents.google.com/patent/US11050817B2/en
AU-2017202995-B2,System and method for adapting video communications ,Ozgur Oyman,4/18/19,https://patents.google.com/patent/AU2017202995B2/en
US-10361991-B2,"Information processing method, terminal, and computer storage medium ","Xun Yao, Qianya Lin, Leteng WENG, Zheng Tang, Yangbin Huang, Shuyuan LI, Chuanyu Zhang, Hao Li, Jin Lin, Bin Zhang, Juan Du",7/23/19,https://patents.google.com/patent/US10361991B2/en
US-10178236-B2,Emergency call handling ,"Frank Kowalewski, Muthaiah Venkatachalam, Thomas Luetzenkirchen, Usharani Ayyalasomayajula",1/8/19,https://patents.google.com/patent/US10178236B2/en
US-11245755-B2,WebRTC API redirection with alternative network connectivity steering ,"Vladimir Vysotsky, Todd Giebler, Georgy Momchilov, James Page",2/8/22,https://patents.google.com/patent/US11245755B2/en
US-2021263981-A1,Playlists for real-time or near real-time streaming ,"David Biderman, William May, JR., Alan Tseng, Roger Pantos, James David Batson",,https://patents.google.com/patent/US20210263981A1/en
US-10015825-B2,Smart-home device facilitating convenient setup of plural instances thereof in the smart home ,"Jay Logue, Grant Erickson, Roger Tinkoff, David Sloo, Anthony M. Fadell, Matthew L. Rogers, Jeffrey A. Boyd, James B. Simister",7/3/18,https://patents.google.com/patent/US10015825B2/en
US-2021176204-A1,System and method for managing trusted relationships in communication sessions using a graphical metaphor ,"Birgit GEPPERT, Frank Roessler",,https://patents.google.com/patent/US20210176204A1/en
US-9882846-B1,Messaging apparatus and method thereof ,"Marc A. Cohen, Erik S. Katz, Jeffrey A. Cohen",1/30/18,https://patents.google.com/patent/US9882846B1/en
US-10740277-B2,Method and system for embedded personalized communication ,"Elaine Wherry, Sandy Jen, Seth Sternberg, Jian Shen",8/11/20,https://patents.google.com/patent/US10740277B2/en
US-2020349787-A1,Access management system ,"Harvey Ho, Ehsan Saeedi, Danial Ehyaie",,https://patents.google.com/patent/US20200349787A1/en
US-2021014939-A1,Methods And Apparatus For HyperSecure Last Mile Communication ,"Ievgen Verzun, Oleksandr Holub, Richard K. Williams",,https://patents.google.com/patent/US20210014939A1/en
US-2018192278-A1,Mobile emergency response network ,"Sheldon Kent Meredith, William Cottrill, Juliette Zerick",,https://patents.google.com/patent/US20180192278A1/en
US-2020295877-A1,System and method for data transfer in a peer-to-peer hybrid communication network ,"Sivakumar Chaturvedi, Satish Gundabathula",,https://patents.google.com/patent/US20200295877A1/en
US-10284382-B2,Network-based quick-connect meeting service ,Marton B. Anka,5/7/19,https://patents.google.com/patent/US10284382B2/en
US-10045052-B2,System and method for transferring data ,"Ralph Neff, Ajay Rajagopal Iyer, Russell Hayashida, Osama Al-Shaykh",8/7/18,https://patents.google.com/patent/US10045052B2/en
US-9967299-B1,Method and apparatus for automatically data streaming a multiparty conference session ,"Paul Berberian, Todd Vernon",5/8/18,https://patents.google.com/patent/US9967299B1/en
US-9980276-B2,Device and method for communication using a common identifier ,Robert Zakrzewski,5/22/18,https://patents.google.com/patent/US9980276B2/en
US-9504025-B2,Method and device for transmitting uplink signal including data and control information via uplink channel ,"Byeong Geol Cheon, Dae Won Lee, Ki Jun Kim",11/22/16,https://patents.google.com/patent/US9504025B2/en
US-10887687-B2,Pairing of media streaming devices ,"Boris Smus, Alejandro Jose Kauffmann, Jay Pierre CIVELLI",1/5/21,https://patents.google.com/patent/US10887687B2/en
US-11146939-B2,IMS emergency calls for roaming UEs ,"Fredrik Lindholm, Ralf Keller, Susana Fernandez Alonso, Ivo Sedlacek",10/12/21,https://patents.google.com/patent/US11146939B2/en
US-9787828-B2,Party information for data-capable communication device ,"Carol Shifrin Gruchala, Wayne Robert Heinmiller, Dianna I. Tiliks Kanne",10/10/17,https://patents.google.com/patent/US9787828B2/en
US-10776220-B2,Systems and methods for monitoring distributed database deployments ,"Eliot Horowitz, John Morales",9/15/20,https://patents.google.com/patent/US10776220B2/en
US-11283760-B2,Unifying web and phone presence ,"Vincent F. Paquet, Tiruvilwamalai Venkatram Raman",3/22/22,https://patents.google.com/patent/US11283760B2/en
US-10848526-B2,Device triggering ,"Michael F. Starsinic, Dale N. Seed",11/24/20,https://patents.google.com/patent/US10848526B2/en
US-10977595-B2,Security and content protection by continuous identity verification ,"Gregory Anderson, Wayne Bailey, Colleen M. DOLAN, Jide FAJOBI, Darrick JENSEN, Ronald D. LANCASTER, JR., Matthew Maloney, Michael Nealis, Steven C. NORDBERG, Peter Pascale, Andrew Stockinger, Julianne Michael Schaffer",4/13/21,https://patents.google.com/patent/US10977595B2/en
US-2018165338-A1,Controlling Service Functions ,"Namendra Kumar, Uladzimir A. Skuratovich, Sankaran Narayanan, Abhilash C. Nair, Adit A. Dalvi",,https://patents.google.com/patent/US20180165338A1/en
US-10965719-B2,Service capabilities in heterogeneous network ,"Shujaur Mufti, Zeeshan Jahangir",3/30/21,https://patents.google.com/patent/US10965719B2/en
US-2019320146-A1,Integrated accessory control user interface ,"Cyrus D. Irani, Kevin P. McLaughlin, Anush G. Nadathur, Arun G. Mathias, Vinay A. Ramaswamy, Christopher D. Soli, Patrick L. Coffman, Stephen O. Lemay",,https://patents.google.com/patent/US20190320146A1/en
US-2020327462-A1,Real-time Automatic Meeting Room Reservation Based on the Number of Actual Participants ,"Glen Marianko, Ara Seferian, Toine Leerentveld, Daniel Jackson, Adam Hanson",,https://patents.google.com/patent/US20200327462A1/en
US-11343288-B2,Telecommunications network call control ,"Shujaur Mufti, Saqib Badar, Zeeshan Jahangir",5/24/22,https://patents.google.com/patent/US11343288B2/en
US-10476917-B2,Media channel management apparatus for network communications sessions ,"Vincent Pirat, Frederic THOMAS, Boris Nicolas, Herbert W. A. Ristock, Philippe Rais",11/12/19,https://patents.google.com/patent/US10476917B2/en
US-11184764-B2,Methods and systems of establishing communication between devices ,"Rajasekhar Jonna, Govind Kothandapani, Vinothkumar Sundaramoorthy, Nicholas PANAYIOTO",11/23/21,https://patents.google.com/patent/US11184764B2/en
US-10564711-B2,Interactive conferencing system ,"SivaKiran Venkata Yellamraju, Tandav Krishna Sanka",2/18/20,https://patents.google.com/patent/US10564711B2/en
US-10855654-B2,Session identifier for a communication session ,"Timothy Mark Moore, Tin Qian, Rajesh Gunnalan",12/1/20,https://patents.google.com/patent/US10855654B2/en
US-11349931-B2,Session management for collaboration sessions ,"Gang Wang, Walter Mak",5/31/22,https://patents.google.com/patent/US11349931B2/en
CN-106789914-B,Multimedia conference control method and system ,"陈亚强, 杨坚",4/14/20,https://patents.google.com/patent/CN106789914B/en
KR-102375307-B1,"Method, apparatus, and system for sharing virtual reality viewport ","밍하오 왕, 밍 리우, 유신 첸, 장리앙 웅",3/17/22,https://patents.google.com/patent/KR102375307B1/en
US-10616868-B2,Method for connecting IMS-based service ,"Jaehyun Kim, Taehyeon Kim, Laeyoung Kim, Youngdae Lee, Hyunsook Kim",4/7/20,https://patents.google.com/patent/US10616868B2/en
US-10084988-B2,Facial gesture recognition and video analysis tool ,"Matthew J. Farrell, John P. Nauseef, Christopher S. Wire, Brian T. Faust, Patrick M. Murray, Linsey Ann Free, Gary T. Riggins, John C. Nesbitt, Dustin L. Clinard",9/25/18,https://patents.google.com/patent/US10084988B2/en
US-9883321-B2,Method and apparatus for M2M device subscription ,"Puneet Jain, Ashok Sunder Rajan",1/30/18,https://patents.google.com/patent/US9883321B2/en
US-10034058-B2,Method and apparatus for distributing video ,"Jeffrey D. Bonta, Kevin L. Baum, George Calcev, Benedito J. Fonseca, Jr.",7/24/18,https://patents.google.com/patent/US10034058B2/en
